t,acc_gal
10.26,-9.749
10.28,-5.514
10.3,0.731
10.32,5.473
10.34,15.099
10.36,3.786
10.38,3.782
10.4,5.451
10.42,0.33
10.44,34.363
10.46,32.043
10.48,11.974
10.5,23.998
10.52,24.852
10.54,-1.148
10.56,-24.205
10.58,-15.605
10.6,-10.342
10.62,-4.076
10.64,2.028
10.66,11.955
10.68,5.41
10.7,-18.139
10.72,-37.884
10.74,-48.084
10.76,-42.095
10.78,-33.028
10.8,-17.139
10.82,8.796
10.84,26.344
10.86,18.784
10.88,17.598
10.9,-12.875
10.92,-14.09
10.94,9.14
10.96,-5.387
10.98,-27.264
11,-51.928
11.02,-21.371
11.04,9.791
11.06,2.27
11.08,2.693
11.1,17.673
11.12,-2.677
11.14,-19.92
11.16,-16.737
11.18,-6.977
11.2,2.808
11.22,-5.55
11.24,15.176
11.26,21.051
11.28,16.837
11.3,7.959
11.32,18.91
11.34,24.263
11.36,9.569
11.38,14.554
11.4,-2.668
11.42,-3.018
11.44,19.001
11.46,15.831
11.48,6.985
11.5,-2.48
11.52,9.464
11.54,14.871
11.56,-11.017
11.58,-10.12
11.6,-8.186
11.62,-11.945
11.64,0.69
11.66,-0.002
11.68,5.272
11.7,13.238
11.72,8.638
11.74,21.231
11.76,33.512
11.78,31.484
11.8,13.595
11.82,-4.463
11.84,-15.402
11.86,-12.361
11.88,-5.905
11.9,-13.529
11.92,-11.303
11.94,-31.002
11.96,-37.046
11.98,1.881
12,12.077
12.02,-2.947
12.04,-3.868
12.06,24.531
12.08,9.763
12.1,-8.473
12.12,7.141
12.14,9.417
12.16,12.661
12.18,11.468
12.2,11.697
12.22,4.563
12.24,11.655
12.26,15.226
12.28,-18.867
12.3,-15.65
12.32,10.37
12.34,-17.298
12.36,-29.383
12.38,-18.091
12.4,-1.33
12.42,3.371
12.44,-7.687
12.46,-1.617
12.48,6.542
12.5,8.726
12.52,-9.362
12.54,-14.679
12.56,7.037
12.58,15.716
12.6,-0.862
12.62,-3.159
12.64,11.546
12.66,10.25
12.68,13.015
12.7,15.977
12.72,13.705
12.74,9.18
12.76,6.11
12.78,-1.276
12.8,5.957
12.82,-0.037
12.84,-26.731
12.86,-16.519
12.88,-12.433
12.9,-20.949
12.92,-12.462
12.94,8.31
12.96,0.474
12.98,-1.078
13,1.64
13.02,-5.218
13.04,-5.952
13.06,-20.951
13.08,-29.019
13.1,-0.278
13.12,14.907
13.14,-10.478
13.16,-31.186
13.18,-10.379
13.2,8.426
13.22,-4.579
13.24,-14.818
13.26,2.102
13.28,16.459
13.3,-24.372
13.32,-28.723
13.34,2.109
13.36,-7.299
13.38,-11.496
13.4,-9.926
13.42,-9.453
13.44,18.515
13.46,16.122
13.48,6.417
13.5,9.935
13.52,8.306
13.54,-1.716
13.56,-9.816
13.58,6.323
13.6,-0.57
13.62,-7.534
13.64,12.48
13.66,18.71
13.68,1.73
13.7,-8.881
13.72,-19.998
13.74,-27.848
13.76,-17.895
13.78,-8.657
13.8,2.119
13.82,-2.997
13.84,-3.243
13.86,1.081
13.88,7.131
13.9,13.204
13.92,17.033
13.94,17.123
13.96,9.689
13.98,4.682
14,10.181
14.02,21.89
14.04,28.986
14.06,25.395
14.08,11.944
14.1,-7.884
14.12,-13.998
14.14,-2.685
14.16,0.757
14.18,-7.454
14.2,-12.059
14.22,-15.66
14.24,-19.171
14.26,-8.852
14.28,2.541
14.3,14.111
14.32,21.433
14.34,22.455
14.36,17.394
14.38,17.912
14.4,12.863
14.42,-8.9
14.44,-12.829
14.46,9.652
14.48,10.1
14.5,-6.713
14.52,-25.305
14.54,-28.176
14.56,-6.545
14.58,-2.003
14.6,-12.439
14.62,-9.279
14.64,-3.558
14.66,5.796
14.68,10.222
14.7,7.871
14.72,11.12
14.74,5.056
14.76,11.128
14.78,6.6
14.8,-6.955
14.82,-5.598
14.84,-4.004
14.86,-9.845
14.88,-12.894
14.9,-12.323
14.92,-11.932
14.94,-12.108
14.96,-6.374
14.98,2.516
15,10.498
15.02,18.997
15.04,18.449
15.06,11.439
15.08,-2.552
15.1,-2.732
15.12,-5.215
15.14,-10.023
15.16,-10.434
15.18,-4.752
15.2,3.098
15.22,-1.713
15.24,-3.62
15.26,-8.512
15.28,1.469
15.3,4.148
15.32,-3.953
15.34,-3.37
15.36,-5.528
15.38,5.874
15.4,14.01
15.42,23.316
15.44,24.08
15.46,3.389
15.48,-1.518
15.5,4.87
15.52,-18.131
15.54,-29.02
15.56,-8.752
15.58,-0.496
15.6,-0.829
15.62,8.953
15.64,26.879
15.66,29.101
15.68,12.534
15.7,2.302
15.72,-0.18
15.74,-11.482
15.76,-11.047
15.78,-30.493
15.8,-17.598
15.82,17.276
15.84,6.636
15.86,6.737
15.88,12.856
15.9,20.554
15.92,19.384
15.94,2.058
15.96,-0.113
15.98,-4.585
16,-16.398
16.02,-10.864
16.04,-3.662
16.06,-7.402
16.08,-14.428
16.1,-6.249
16.12,3.377
16.14,-0.766
16.16,6.91
16.18,9.704
16.2,2.226
16.22,4.716
16.24,11.16
16.26,3.984
16.28,-2.583
16.3,-5.623
16.32,-6.294
16.34,3.401
16.36,-1.736
16.38,-13.299
16.4,-21.182
16.42,-9.236
16.44,6.756
16.46,4.358
16.48,5.746
16.5,17.363
16.52,10.147
16.54,6.991
16.56,-4.837
16.58,-13.656
16.6,-4.678
16.62,0.21
16.64,6.994
16.66,-9.65
16.68,-17.878
16.7,-19.274
16.72,-22.676
16.74,-7.185
16.76,4.317
16.78,7.054
16.8,9.323
16.82,10.841
16.84,8.773
16.86,4.464
16.88,12.477
16.9,15.976
16.92,9.453
16.94,-2.359
16.96,-8.876
16.98,-8.659
17,-1.376
17.02,0.955
17.04,-6.232
17.06,-18.375
17.08,-20.907
17.1,-5.529
17.12,12.112
17.14,13.909
17.16,-0.008
17.18,4.906
17.2,6.754
17.22,9.407
17.24,12.851
17.26,11.593
17.28,12.496
17.3,10.965
17.32,7.008
17.34,5.207
17.36,2.746
17.38,-15.259
17.4,-19.284
17.42,-7.952
17.44,-4.004
17.46,-6.243
17.48,-7.865
17.5,-9.536
17.52,-4.769
17.54,6.727
17.56,8.993
17.58,7.734
17.6,6.736
17.62,2.315
17.64,1.737
17.66,5.441
17.68,10.041
17.7,-4.609
17.72,-17.214
17.74,-4.122
17.76,-3.745
17.78,-4.378
17.8,-5.339
17.82,-9.77
17.84,-8.637
17.86,-8.854
17.88,8.612
17.9,18.323
17.92,3.399
17.94,-0.588
17.96,13.166
17.98,19.548
18,16.01
18.02,18.77
18.04,11.1
18.06,-13.565
18.08,-11.366
18.1,0.709
18.12,-1.593
18.14,-2.004
18.16,-0.91
18.18,8.956
18.2,3.381
18.22,-10.097
18.24,-10.118
18.26,-11.484
18.28,-13.051
18.3,-2.987
18.32,-0.832
18.34,-6.14
18.36,11.214
18.38,15.137
18.4,8.711
18.42,18.046
18.44,21.518
18.46,9.883
18.48,-3.75
18.5,-13.965
18.52,-7.818
18.54,8.118
18.56,-2.468
18.58,-9.292
18.6,-2.8
18.62,-1.155
18.64,-8.789
18.66,-7.914
18.68,7.998
18.7,2.527
18.72,-5.908
18.74,-10.814
18.76,-10.072
18.78,-10.577
18.8,-5.036
18.82,1.452
18.84,-3.371
18.86,9.2
18.88,17.667
18.9,10.733
18.92,-6.656
18.94,-4.616
18.96,4.813
18.98,1.591
19,-3.506
19.02,-7.485
19.04,-2.955
19.06,-3.307
19.08,-5.147
19.1,-3.934
19.12,-2.869
19.14,-0.535
19.16,4.292
19.18,9.314
19.2,7.728
19.22,7.825
19.24,5.021
19.26,2.462
19.28,2.561
19.3,-1.739
19.32,-3.02
19.34,-9.987
19.36,-12.512
19.38,-10.048
19.4,-5.043
19.42,-2.643
19.44,-3.229
19.46,-2.726
19.48,-6.993
19.5,-6.393
19.52,0.193
19.54,5.015
19.56,10.887
19.58,-1.097
19.6,-8.864
19.62,-13.531
19.64,-8.705
19.66,2.386
19.68,-1.151
19.7,-0.385
19.72,2.487
19.74,7.579
19.76,2.03
19.78,1.35
19.8,-2.192
19.82,-0.742
19.84,-0.288
19.86,-6.915
19.88,-5.863
19.9,-2.077
19.92,2.244
19.94,3.911
19.96,2.618
19.98,1.585
20,2.189
20.02,-0.497
20.04,-7.125
20.06,-10.488
20.08,-3.858
20.1,-5
20.12,-6.289
20.14,-4.128
20.16,-0.711
20.18,-3.068
20.2,4.639
20.22,13.386
20.24,7.312
20.26,3.061
20.28,0.749
20.3,-0.403
20.32,-0.233
20.34,3.348
20.36,10.116
20.38,18.406
20.4,16.102
20.42,9.509
20.44,1.508
20.46,-4.322
20.48,1.894
20.5,4.326
20.52,-3.524
20.54,-7.571
20.56,-3.051
20.58,1.246
20.6,1.175
20.62,3.939
20.64,8.626
20.66,9.629
20.68,6.589
20.7,6.443
20.72,9.533
20.74,9.966
20.76,7.763
20.78,3.283
20.8,0.016
20.82,-2.113
20.84,-8.803
20.86,-16.748
20.88,-10.7
20.9,-9.732
20.92,-14.7
20.94,-8.034
20.96,2.07
20.98,7.19
21,12.409
21.02,13.014
21.04,9.793
21.06,8.21
21.08,2.942
21.1,-1.433
21.12,-5.028
21.14,-6.283
21.16,-6.135
21.18,-9.216
21.2,-10.845
21.22,-12.296
21.24,-15.68
21.26,-12.315
21.28,-9.634
21.3,-1.412
21.32,7.691
21.34,8.801
21.36,8.609
21.38,4.507
21.4,5.379
21.42,0.366
21.44,-6.37
21.46,-7.911
21.48,-5.692
21.5,-1.085
21.52,-4.998
21.54,-7.106
21.56,-1.565
21.58,-0.98
21.6,0.344
21.62,10.075
21.64,9.191
21.66,7.94
21.68,10.666
21.7,6.583
21.72,5.971
21.74,7.105
21.76,4.81
21.78,4.407
21.8,4.483
21.82,1.916
21.84,-0.791
21.86,-0.076
21.88,2.309
21.9,-1.172
21.92,-6.269
21.94,-1.805
21.96,-0.613
21.98,0.024
22,3.678
22.02,-0.457
22.04,-1.433
22.06,-0.728
22.08,-2.625
22.1,-1.37
22.12,2.039
22.14,6.504
22.16,2.343
22.18,-2.137
22.2,-1.479
22.22,-0.452
22.24,4.564
22.26,6.576
22.28,2.362
22.3,-1.223
22.32,3.086
22.34,4.051
22.36,4.481
22.38,5.189
22.4,2.114
22.42,-1.404
22.44,-6.652
22.46,-7.549
22.48,-4.077
22.5,-1.641
22.52,-1.589
22.54,-3.351
22.56,1.668
22.58,6.126
22.6,1.053
22.62,-0.792
22.64,-0.193
22.66,0.182
22.68,1.469
22.7,0.736
22.72,-2.842
22.74,-2.005
22.76,-0.449
22.78,-1.311
22.8,0.565
22.82,4.348
22.84,-1.05
22.86,-7.734
22.88,-3.82
22.9,-4.224
22.92,-4.977
22.94,-3.184
22.96,-1.054
22.98,-2.771
23,-6.109
23.02,-7.172
23.04,-7.89
23.06,-0.485
23.08,2.608
23.1,-2.55
23.12,-1.786
23.14,3.219
23.16,2.128
23.18,-1.76
23.2,-6.063
23.22,-8.266
23.24,-6.611
23.26,-7.318
23.28,-7.294
23.3,-5.975
23.32,-2.745
23.34,-1.48
23.36,-1.217
23.38,-2.027
23.4,-3.778
23.42,-0.786
23.44,1.326
23.46,-1.132
23.48,-5.299
23.5,-3.818
23.52,1.471
23.54,2.608
23.56,-0.246
23.58,2.646
23.6,4.561
23.62,1.271
23.64,2.201
23.66,4.599
23.68,5.769
23.7,1.443
23.72,-3.404
23.74,-3.044
23.76,-2.007
23.78,-3.482
23.8,-5.299
23.82,-3.252
23.84,-1.254
23.86,0.046
23.88,-1.049
23.9,-2.705
23.92,-0.783
23.94,3.516
23.96,5.713
23.98,2.035
24,0.428
24.02,0.131
24.04,0.833
24.06,1.64
24.08,1.534
24.1,3.379
24.12,2.459
24.14,3.779
24.16,8.411
24.18,7.822
24.2,4.692
24.22,2.75
24.24,-0.129
24.26,-0.143
24.28,0.406
24.3,1.11
24.32,0.735
24.34,0.545
24.36,1.609
24.38,0.76
24.4,1.72
24.42,3.436
24.44,2.904
24.46,3.854
24.48,6.182
24.5,6.483
24.52,3.2
24.54,-0.884
24.56,-3.04
24.58,-5.274
24.6,-3.372
24.62,-3.219
24.64,-3.758
24.66,-1.065
24.68,3.4
24.7,7.462
24.72,6.948
24.74,6.261
24.76,6.229
24.78,5.153
24.8,1.998
24.82,0.288
24.84,-0.038
24.86,-2.388
24.88,-3.344
24.9,-0.829
24.92,-1.271
24.94,-1.741
24.96,0.356
24.98,-1.577
25,-2.967
25.02,-3.516
25.04,-5.494
25.06,-2.101
25.08,-0.992
25.1,-3.474
25.12,-3.747
25.14,-2.861
25.16,-2.151
25.18,-2.866
25.2,-5.109
25.22,-4.774
25.24,0.242
25.26,2.453
25.28,1.865
25.3,3.25
25.32,5.317
25.34,2.025
25.36,-0.566
25.38,-0.471
25.4,-0.799
25.42,-1.095
25.44,-1.275
25.46,-5.332
25.48,-4.758
25.5,-0.492
25.52,-1.154
25.54,-0.501
25.56,-1.993
25.58,-1.856
25.6,0.186
25.62,3.922
25.64,3.869
25.66,1.154
25.68,3.597
25.7,2.16
25.72,-1.244
25.74,-0.688
25.76,-2.222
25.78,-6.015
25.8,-3.718
25.82,-0.724
25.84,-1.989
25.86,0.694
25.88,6.126
25.9,6.444
25.92,3.197
25.94,1.635
25.96,3.188
25.98,6.351
26,5.672
26.02,0.69
26.04,-2.761
26.06,-0.249
26.08,4.506
26.1,2.555
26.12,-0.795
26.14,0.36
26.16,3.51
26.18,3.452
26.2,-0.456
26.22,0.585
26.24,0.792
26.26,1.881
26.28,3.469
26.3,5.875
26.32,5.667
26.34,1.187
26.36,-1.3
26.38,-1.235
26.4,0.762
26.42,-2.048
26.44,-4.028
26.46,-2.558
26.48,-2.174
26.5,-4.706
26.52,-3.761
26.54,0.416
26.56,-0.525
26.58,-4.374
26.6,-6.751
26.62,-5.333
26.64,-1.433
26.66,-1.27
26.68,-0.707
26.7,-0.233
26.72,0.109
26.74,-0.423
26.76,-1.962
26.78,-1.355
26.8,-1.628
26.82,-1.496
26.84,-2.862
26.86,-4.285
26.88,-3.412
26.9,-3.63
26.92,-2.435
26.94,-0.641
26.96,-1.828
26.98,-2.794
27,-0.575
27.02,2.522
27.04,3.717
27.06,2.851
27.08,1.179
27.1,1.442
27.12,0.76
27.14,2.227
27.16,3.518
27.18,3.176
27.2,1.256
27.22,-1.312
27.24,2.829
27.26,1.896
27.28,-0.305
27.3,0.57
27.32,2.122
27.34,3.132
27.36,3.753
27.38,5.157
27.4,2.355
27.42,1.001
27.44,-1.302
27.46,-1.212
27.48,-0.39
27.5,1.773
27.52,3.291
27.54,2.892
27.56,2.902
27.58,2.118
27.6,0.546
27.62,0.297
27.64,0.822
27.66,0.316
27.68,0.001
27.7,1.228
27.72,3.644
27.74,3.123
27.76,2
27.78,0.961
27.8,-0.579
27.82,-0.737
27.84,-2.238
27.86,-2.381
27.88,-0.447
27.9,0.694
27.92,-0.76
27.94,-1.081
27.96,0.563
27.98,0.131
28,0.613
28.02,0.671
28.04,1.665
28.06,1.338
28.08,-0.553
28.1,-1.698
28.12,-4.483
28.14,-4.453
28.16,-0.659
28.18,-0.551
28.2,-2.475
28.22,-4.577
28.24,-5.456
28.26,-5.128
28.28,-2.818
28.3,-3.635
28.32,-3.563
28.34,-2.659
28.36,-1.856
28.38,-1.96
28.4,-0.794
28.42,-0.201
28.44,-2.142
28.46,-1.062
28.48,-2.399
28.5,-1.373
28.52,0.224
28.54,2.62
28.56,3.086
28.58,2.875
28.6,2.303
28.62,0.896
28.64,-1.701
28.66,-0.785
28.68,-0.003
28.7,1.135
28.72,3.436
28.74,2.657
28.76,2.768
28.78,1.101
28.8,0.255
28.82,-2.337
28.84,-4.948
28.86,-5.125
28.88,-5.585
28.9,-5.353
28.92,-4.788
28.94,-3.9
28.96,-1.01
28.98,1.469
29,3.882
29.02,5.137
29.04,3.739
29.06,3.28
29.08,3.535
29.1,1.752
29.12,1.217
29.14,2.959
29.16,1.598
29.18,-0.253
29.2,-0.345
29.22,-1.662
29.24,-1.676
29.26,-2.065
29.28,-1.981
29.3,-0.68
29.32,0.615
29.34,0.341
29.36,2.09
29.38,3.885
29.4,3.104
29.42,1.671
29.44,-0.545
29.46,1.716
29.48,3.175
29.5,3.659
29.52,3.004
29.54,2.538
29.56,0.752
29.58,0.466
29.6,2.144
29.62,1.064
29.64,-0.451
29.66,-1.09
29.68,-0.88
29.7,-0.733
29.72,1.556
29.74,1.111
29.76,1.323
29.78,2.926
29.8,2.848
29.82,2.593
29.84,2.701
29.86,2.55
29.88,0.014
29.9,-0.019
29.92,0.26
29.94,-0.129
29.96,0.039
29.98,-0.406
30,-0.041
30.02,-0.063
30.04,0
30.06,1.305
30.08,0.887
30.1,-0.01
30.12,-0.144
30.14,0.75
30.16,0.704
30.18,-0.136
30.2,0.55
30.22,1.843
30.24,3.03
30.26,3.042
30.28,2.6
30.3,2.312
30.32,0.113
30.34,0.164
30.36,2.128
30.38,2.157
30.4,0.637
30.42,-0.334
30.44,-2.403
30.46,-4.958
30.48,-4.226
30.5,-3.532
30.52,-4.269
30.54,-5.028
30.56,-4.051
30.58,-2.641
30.6,-1.936
30.62,-3.374
30.64,-2.372
30.66,-1.461
30.68,-2.073
30.7,-2.567
30.72,-3.15
30.74,-0.918
30.76,0.173
30.78,0.874
30.8,-0.836
30.82,-1.559
30.84,-2.402
30.86,-2.318
30.88,-1.179
30.9,-3.156
30.92,-2.301
30.94,-2.892
30.96,-2.46
30.98,-1.01
31,-1.244
31.02,-1.232
31.04,-0.093
31.06,0.685
31.08,-0.868
31.1,-0.64
31.12,-2.325
31.14,-1.329
31.16,-0.77
31.18,-4.034
31.2,-5.625
31.22,-4.003
31.24,-0.353
31.26,1.766
31.28,1.515
31.3,1.091
31.32,3.285
31.34,3.472
31.36,1.775
31.38,-0.557
31.4,-0.688
31.42,-0.664
31.44,-1.282
31.46,-1.341
31.48,-1.555
31.5,-0.188
31.52,1.321
31.54,2.28
31.56,2.319
31.58,3.736
31.6,4.922
31.62,2.98
31.64,1.648
31.66,1.418
31.68,1.543
31.7,0.176
31.72,-0.568
31.74,0.058
31.76,-0.503
31.78,-1.576
31.8,-3.089
31.82,-3.423
31.84,-3.394
31.86,-1.15
31.88,-1.165
31.9,-0.869
31.92,-0.652
31.94,-0.907
31.96,-1.629
31.98,-2.453
32,-1.3
32.02,-0.849
32.04,-0.362
32.06,-1.061
32.08,0.754
32.1,1.893
32.12,3.177
32.14,2.748
32.16,1.415
32.18,1.275
32.2,-0.232
32.22,-0.581
32.24,-1.209
32.26,-0.978
32.28,-1.784
32.3,-1.253
32.32,-0.769
32.34,-0.962
32.36,1.329
32.38,1.337
32.4,0.475
32.42,0.555
32.44,0.628
32.46,0.855
32.48,1.646
32.5,1.914
32.52,0.936
32.54,-0.285
32.56,0.583
32.58,1.395
32.6,1.731
32.62,2.083
32.64,2.749
32.66,2.355
32.68,-0.855
32.7,-1.346
32.72,-1.033
32.74,-1.52
32.76,-1.831
32.78,-0.754
32.8,0.934
32.82,2.491
32.84,4.227
32.86,2.282
32.88,2.486
32.9,3.479
32.92,1.3
32.94,0.831
32.96,1.545
